county_fips,max_hourly_des_demand,max_hourly_undes_demand,max_hourly_total_demand,acc_des_demand,acc_undes_demand,acc_total_demand,supply,max_hourly_des_deficit,max_hourly_total_deficit,acc_des_deficit,acc_total_deficit,diagnosis
18001,18.283098439284988,12.162235048741735,19.713949621489892,284.34192659705343,69.63475753397228,353.9766841310257,30,0.0,0.0,0.0,0.0,Typical/Other
18003,322.984428023511,44.68641391991956,346.88044473358383,6245.0557461212675,596.322077647575,6841.377823768842,365,0.0,0.0,0.0,0.0,Elevated
18005,158.72209293534894,44.30136050506062,200.67636149312187,2787.17168740447,519.367439960818,3306.539127365288,83,75.72209293534894,117.67636149312187,867.9979031813098,1343.120737907692,High Stress
18007,9.79237681966369,3.451411502012623,12.842461402837598,157.9622752549033,22.95589975757231,180.9181750124756,39,0.0,0.0,0.0,0.0,Typical/Other
18009,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,No Supply
18011,525.4945528902081,37.63436300382186,557.5827992408351,9499.309373354161,526.3858930666136,10025.695266420775,550,0.0,7.582799240835129,0.0,18.93544252343395,High Stress
18013,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,No Supply
18015,0.0,2.2963628775708322,2.2963628775708322,0.0,14.393274464774313,14.393274464774313,0,0.0,2.2963628775708322,0.0,14.393274464774313,No Supply
18017,31.85373309364586,4.346014948571267,35.739581753544876,534.917745787677,81.90959938366076,616.8273451713377,41,0.0,0.0,0.0,0.0,Elevated
18019,321.6593288722339,32.83414851295187,348.76106922538366,5638.85797220056,416.0914254218806,6054.94939762244,571,0.0,0.0,0.0,0.0,Typical/Other
18021,255.37521662264942,27.30864244566821,272.8546023646138,4331.224874952435,295.80498947939395,4627.029864431829,277,0.0,0.0,0.0,0.0,High Stress
18023,81.14198750301716,12.215792734751306,91.90159302435438,1260.7749793028615,164.67050405024048,1425.4454833531022,100,0.0,0.0,0.0,0.0,Elevated
18025,96.83653948734835,11.476325939799514,105.24892829099532,1712.364586127652,134.51759093371575,1846.8821770613679,115,0.0,0.0,0.0,0.0,Elevated
18027,22.294132179561057,10.927058206429574,32.85451058040571,452.33620816951486,115.43080279812212,567.7670109676369,15,7.294132179561057,17.85451058040571,97.00702145833388,207.76701096763696,Elevated
18029,28.396913302403675,9.5039601875791,32.765669195081166,479.9499894727444,103.93040334159076,583.8803928143351,85,0.0,0.0,0.0,0.0,Typical/Other
18031,248.07149234421254,15.027464597049855,255.58522464273747,4430.084730560998,143.05672990419868,4573.141460465196,209,39.071492344212544,46.58522464273747,245.7058064052376,313.1756570430874,High Stress
18033,89.4968156082385,11.797307511995076,91.37828275454807,1553.6850591443879,93.86995546182294,1647.5550146062108,230,0.0,0.0,0.0,0.0,Typical/Other
18035,306.4522718880462,11.100125756593929,314.843966960031,5343.556138721305,117.3949300017377,5460.951068723042,465,0.0,0.0,0.0,0.0,Typical/Other
18037,27.789697970962827,17.817669147609415,44.06756855026023,595.6820747126694,193.28138219382024,788.9634569064897,35,0.0,9.067568550260233,0.0,46.2906489994311,Elevated
