county_fips,max_hourly_des_demand,max_hourly_undes_demand,max_hourly_total_demand,acc_des_demand,acc_undes_demand,acc_total_demand,supply,supply_small,supply_medium,supply_large,max_hourly_des_deficit,max_hourly_total_deficit,acc_des_deficit,acc_total_deficit,diagnosis
18001,18.201097754615,6.69158005684375,18.334929355751825,309.820156631865,40.81863834674685,350.6387949786119,30,30,0,0,0.0,0.0,0.0,0.0,Typical/Other
18003,394.45,39.4093175193486,412.9652427379627,7506.245924213475,517.9510302542963,8024.196954467771,343,53,140,150,51.44999999999999,69.96524273796268,406.72684189365094,594.4839179816995,High Stress
18005,95.4499999999999,27.4552808988764,120.3313483146067,1682.1364419475642,316.6294569288383,1998.7658988764026,83,83,0,0,12.449999999999903,37.3313483146067,88.10745318352011,327.3588389513098,High Stress
18007,0.0,2.18180943150081,2.18180943150081,0.0,15.308433388235152,15.308433388235152,0,0,0,0,0.0,2.18180943150081,0.0,15.308433388235152,No Supply
18009,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,No Supply
18011,469.2,28.569477685485,491.62621427565733,8532.49745178093,342.6355624384056,8875.133014219335,408,8,140,260,61.19999999999999,83.62621427565733,405.93644938757996,601.695171054481,High Stress
18013,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,No Supply
18015,0.0,5.1724546510026,5.1724546510026,0.0,36.167086009335996,36.167086009335996,0,0,0,0,0.0,5.1724546510026,0.0,36.167086009335996,No Supply
18017,24.7200618647916,2.61635691269692,27.20108997165937,417.9404620023611,40.869299360403616,458.80976136276473,25,25,0,0,0.0,2.2010899716593713,0.0,9.597771674512117,Elevated
18019,425.217739491756,47.691716304919,469.0019412254736,7329.462011200151,648.0462627315453,7977.508273931697,473,137,116,220,0.0,0.0,0.0,0.0,Elevated
18021,181.699999999999,17.1983854243815,193.89228262479529,2887.256332395192,203.1508813509103,3090.4072137461026,158,28,130,0,23.699999999998994,35.892282624795286,57.296356095389996,152.661561250179,High Stress
18023,57.4999999999999,10.5302748885586,67.624442793462,902.9123328380375,122.58265230312,1025.4949851411575,50,0,50,0,7.4999999999999005,17.624442793461995,41.3103640416044,115.7327265973247,High Stress
18025,86.2499999999999,7.85592679293466,93.15146839753135,1529.20754415833,96.91423707171728,1626.1217812300472,75,25,50,0,11.2499999999999,18.151468397531346,87.8492764417955,148.96972760161663,High Stress
18027,23.0,4.81395348837209,25.34525939177101,401.4919499105537,64.18604651162777,465.6779964221815,20,20,0,0,3.0,5.345259391771009,5.5474060822898,23.86583184257572,Elevated
